"code","cont","reg","year","def","eco","edu","amb","pub","sal","viv","seg","cul","soc"
"HKG","Asia","East Asia & Pacific",2011,0,2.07037732045099,3.50371944190278,0.62871233386579,3.2912537543359,2.5084908732805,1.22821709754295,1.72231613446855,1.09427583319117,3.94917365839033
"HKG","Asia","East Asia & Pacific",2012,0,2.53055998868958,3.55080535222593,0.638420389394711,3.31796968079962,3.10707740914721,1.27723350182788,1.75385199937753,0.756139120172759,3.0883739744406
"HKG","Asia","East Asia & Pacific",2013,0,3.51049078592624,3.38001360890986,0.604357189456135,3.25641103584381,3.33600679042513,1.2632435503822,1.74240812232118,0.700087218614744,2.99251042297521
"HKG","Asia","East Asia & Pacific",2014,0,2.78760445220254,3.37968278831242,0.696856865360917,3.01578978807569,2.81517076289654,1.3787137639076,1.8244649901217,0.595308417459253,2.81309112147982
"HKG","Asia","East Asia & Pacific",2015,0,3.00215154193839,3.4066080691162,0.692162716613573,3.05635705589005,3.22731290758377,1.4802274963724,1.91387160798572,0.59209099854896,2.92709775338993
"HKG","Asia","East Asia & Pacific",2016,0,3.03159524549497,3.39297746018973,0.694656923802158,3.2082709949013,2.82681199050127,1.44151350083801,1.81092643141488,0.622380480863206,2.8749962857939
"HKG","Asia","East Asia & Pacific",2017,0,2.70739389272102,3.47824909828742,0.680608742475701,2.98189355128857,2.89540735749331,1.45898448663299,1.83501141617758,0.650526588112134,2.81268143299351
"HKG","Asia","East Asia & Pacific",2018,0,2.42316845323902,3.99276082833562,0.719543470830801,2.38789671447281,3.01926083838807,1.4708315065512,1.89761954562241,0.94175542505796,3.43546735582941
"YEM","Asia","Middle East & North Africa",2002,6.84864326916779,4.85248457540361,6.32079646135504,0.0213524230740354,5.32378207322976,1.24456405114571,1.82416785453941,2.23758484393296,0.488762821437833,0.13988233270696
"YEM","Asia","Middle East & North Africa",2003,6.3617740932182,6.77874005835394,5.94827937321347,0.611494542276989,6.76656755876124,1.38428627497445,2.12981716257646,2.4912432056162,0.57724492365112,0.109367363260712
